Date,Player,League,Stat,Line,Side,Implied_Win_%,FD_Odds,Result,Actual
2026-02-07,Victor Wembanyama,NBA,Rebounds,11.5,Under,55.11,-144,WIN,11
2026-02-07,Jalen Suggs,NBA,Assists,6.5,Under,53.79,-136,WIN,6
2026-02-07,Max Christie,NBA,Assists,2.5,Over,53.79,-136,WIN,3
2026-02-07,Kon Knueppel,NBA,Rebounds,5.5,Under,53.79,-136,LOSS,8
2026-02-07,Kon Knueppel,NBA,Assists,3.5,Over,53.23,-132,WIN,4
2026-02-07,Julian Champagnie,NBA,Points,10.5,Under,53.23,-132,WIN,5
2026-02-07,Amen Thompson,NBA,Points,14.5,Under,53.23,-132,DNP/Unknown,0
2026-02-07,Cason Wallace,NBA,Points,11.5,Under,53.23,-132,LOSS,23
2026-02-07,Keyonte George,NBA,Rebounds,3.5,Under,53.23,-132,WIN,1
2026-02-07,Wendell Carter,NBA,Points,10.5,Over,53.23,-132,LOSS,8
2026-02-07,Jrue Holiday,NBA,Rebounds,3.5,Over,53.23,-132,LOSS,2
2026-02-07,Justin Champagnie,NBA,Points,9.5,Over,53.23,-132,WIN,21
2026-02-07,Chet Holmgren,NBA,Points,19.5,Over,53.23,-132,LOSS,17
2026-02-07,Nic Claxton,NBA,Points,11.5,Under,53.23,-132,WIN,11
2026-02-07,Max Christie,NBA,Points,13.5,Over,53.23,-132,WIN,17
2026-02-07,Amen Thompson,NBA,Rebounds,6.5,Over,52.82,-130,DNP/Unknown,0
2026-02-07,Tristan Silva,NBA,Points,7.5,Over,52.82,-130,DNP/Unknown,0
2026-02-07,Alex Caruso,NBA,Points,6.5,Over,52.82,-130,WIN,8
2026-02-07,Draymond Green,NBA,Assists,4.5,Under,52.82,-130,LOSS,6
2026-02-07,Luguentz Dort,NBA,Points,10.5,Over,52.82,-130,LOSS,2
2026-02-07,Brandon Miller,NBA,Points,21.5,Over,52.82,-130,LOSS,16
2026-02-07,Jamal Murray,NBA,Points,25.5,Under,52.82,-130,LOSS,28
2026-02-07,Isaiah Joe,NBA,Points,11.5,Over,52.82,-130,WIN,21
2026-02-07,Michael Porter,NBA,Points,25.5,Under,52.82,-130,WIN,23
2026-02-07,Naji Marshall,NBA,Rebounds,5.5,Over,52.82,-130,LOSS,3
2026-02-07,Onyeka Okongwu,NBA,Points,15.5,Under,52.82,-130,LOSS,16
2026-02-07,Victor Wembanyama,NBA,Points,24.5,Under,52.82,-130,WIN,16
2026-02-07,Jalen Johnson,NBA,Rebounds,10.5,Under,52.82,-130,WIN,9
2026-02-07,Marcus Smart,NBA,Points,10.5,Under,52.82,-130,LOSS,15
2026-02-07,Aaron Wiggins,NBA,Points,16.5,Over,52.82,-130,WIN,17
2026-02-07,Kyshawn George,NBA,Assists,4.5,Under,52.82,-130,DNP/Unknown,0
2026-02-07,Paolo Banchero,NBA,Rebounds,8.5,Over,52.82,-130,LOSS,7
2026-02-07,Deni Avdija,NBA,Rebounds,6.5,Under,52.82,-130,DNP/Unknown,0
2026-02-07,Noah Clowney,NBA,Rebounds,4.5,Under,52.82,-130,WIN,3
2026-02-07,Noah Clowney,NBA,Points,11.5,Under,52.82,-130,LOSS,18
2026-02-07,Mark Williams,NBA,Rebounds,8.5,Under,52.41,-128,LOSS,11
2026-02-07,LaMelo Ball,NBA,Rebounds,4.5,Over,52.41,-128,LOSS,1
2026-02-07,Cooper Flagg,NBA,Points,24.5,Over,52.41,-128,LOSS,14
2026-02-07,Nolan Traore,NBA,Rebounds,2.5,Over,52.41,-128,WIN,3
2026-02-07,Isaac Okoro,NBA,Rebounds,3.5,Under,52.41,-128,WIN,2
2026-02-07,Jaylen Wells,NBA,Rebounds,3.5,Under,52.41,-128,DNP/Unknown,0
2026-02-07,Daniel Gafford,NBA,Rebounds,7.5,Over,52.41,-128,LOSS,4
2026-02-07,Moses Moody,NBA,Points,14.5,Under,52.41,-128,LOSS,25
2026-02-07,Paolo Banchero,NBA,Points,23.5,Over,51.92,-125,LOSS,23
2026-02-07,LeBron James,NBA,Points,23.5,Under,51.92,-125,WIN,20
2026-02-07,Nikola Jokić,NBA,Points,26.5,Under,51.92,-125,WIN,22
2026-02-07,Royce O'Neale,NBA,Rebounds,4.5,Under,51.92,-125,LOSS,11
2026-02-07,CJ McCollum,NBA,Points,16.5,Under,51.92,-125,WIN,12
2026-02-07,GG Jackson,NBA,Points,15.5,Under,51.92,-125,WIN,11
2026-02-07,Jake LaRavia,NBA,Points,9.5,Under,51.92,-125,WIN,2
2026-02-07,Oso Ighodaro,NBA,Points,5.5,Over,51.92,-125,LOSS,3
2026-02-07,Toumani Camara,NBA,Points,12.5,Under,51.92,-125,WIN,8
2026-02-07,Cody Williams,NBA,Points,6.5,Under,51.92,-125,WIN,0
2026-02-07,Anthony Black,NBA,Points,16.5,Over,51.92,-125,WIN,21
2026-02-07,De'Aaron Fox,NBA,Rebounds,3.5,Over,51.92,-125,LOSS,2
