Date,Player,League,Stat,Line,Side,Implied_Win_%,FD_Odds,Result,Actual
2026-02-08,Julius Randle,NBA,Rebounds,6.5,Under,55.06,-140,LOSS,8
2026-02-08,Anthony Edwards,NBA,Rebounds,5.5,Under,54.28,-136,WIN,4
2026-02-08,Jay Huff,NBA,Rebounds,4.5,Under,53.72,-132,LOSS,7
2026-02-08,Pascal Siakam,NBA,Points,22.5,Over,52.89,-128,LOSS,18
2026-02-08,Aaron Nesmith,NBA,Rebounds,4.5,Under,52.89,-128,WIN,1
2026-02-08,Brandon Ingram,NBA,Assists,3.5,Under,52.39,-125,WIN,3
2026-02-08,Derrick Jones,NBA,Points,9.5,Under,52.39,-125,WIN,5
2026-02-08,Ayo Dosunmu,NBA,Points,9.5,Over,52.39,-125,WIN,11
2026-02-08,Sandro Mamukelashvili,NBA,Rebounds,5.5,Over,51.88,-122,LOSS,4
2026-02-08,Scottie Barnes,NBA,Assists,5.5,Under,51.88,-122,LOSS,6
2026-02-08,Kris Dunn,NBA,Points,8.5,Under,51.88,-122,LOSS,9
2026-02-08,Aaron Nesmith,NBA,Points,13.5,Over,51.88,-122,LOSS,7
2026-02-08,Collin Murray-Boyles,NBA,Rebounds,6.5,Under,51.88,-122,WIN,0
2026-02-08,Immanuel Quickley,NBA,Points,16.5,Over,51.46,-120,LOSS,13
2026-02-08,Donte DiVincenzo,NBA,Points,11.5,Under,51.46,-120,WIN,1
2026-02-08,Jaden McDaniels,NBA,Points,13.5,Under,51.46,-120,WIN,2
2026-02-08,John Collins,NBA,Points,15.5,Under,51.46,-120,WIN,15
2026-02-08,Rudy Gobert,NBA,Points,9.5,Under,51.46,-120,LOSS,10
2026-02-08,Scottie Barnes,NBA,Rebounds,8.5,Over,51.46,-120,WIN,14
2026-02-08,Scottie Barnes,NBA,Points,18.5,Over,51.04,-118,WIN,25
2026-02-08,Immanuel Quickley,NBA,Assists,5.5,Over,51.04,-118,WIN,6
2026-02-08,Kris Dunn,NBA,Assists,4.5,Under,51.04,-118,LOSS,6
2026-02-08,Jarace Walker,NBA,Points,11.5,Under,50.42,-115,LOSS,13
2026-02-08,Sandro Mamukelashvili,NBA,Points,11.5,Over,50.42,-115,WIN,17
2026-02-08,Immanuel Quickley,NBA,Rebounds,4.5,Over,50.42,-115,LOSS,4
2026-02-08,Andrew Nembhard,NBA,Assists,7.5,Under,50.0,-113,WIN,2
2026-02-08,T.J. McConnell,NBA,Points,8.5,Under,50.0,-113,LOSS,10
2026-02-08,Julius Randle,NBA,Points,20.5,Over,50.0,-113,LOSS,17
2026-02-08,Julius Randle,NBA,Points,20.5,Under,50.0,-113,WIN,17
2026-02-08,T.J. McConnell,NBA,Points,8.5,Over,50.0,-113,WIN,10
2026-02-08,Jay Huff,NBA,Points,9.0,Over,50.0,-113,WIN,15
2026-02-08,Johnny Furphy,NBA,Points,6.5,Under,50.0,-113,WIN,4
2026-02-08,Andrew Nembhard,NBA,Assists,7.5,Over,50.0,-113,LOSS,2
2026-02-08,Johnny Furphy,NBA,Points,6.5,Over,50.0,-113,LOSS,4
2026-02-08,Immanuel Quickley,NBA,Rebounds,4.5,Under,49.58,-111,WIN,4
2026-02-08,Sandro Mamukelashvili,NBA,Points,11.5,Under,49.58,-111,LOSS,17
2026-02-08,Jarace Walker,NBA,Points,11.5,Over,49.58,-111,WIN,13
2026-02-08,Immanuel Quickley,NBA,Assists,5.5,Under,48.96,-108,LOSS,6
2026-02-08,Kris Dunn,NBA,Assists,4.5,Over,48.96,-108,WIN,6
2026-02-08,Scottie Barnes,NBA,Points,18.5,Under,48.96,-108,LOSS,25
2026-02-08,Andrew Nembhard,NBA,Points,17.0,Under,48.96,-108,WIN,10
2026-02-08,Scottie Barnes,NBA,Rebounds,8.5,Under,48.54,-106,LOSS,14
2026-02-08,Immanuel Quickley,NBA,Points,16.5,Under,48.54,-106,WIN,13
2026-02-08,RJ Barrett,NBA,Points,18.5,Under,48.54,-106,LOSS,20
2026-02-08,John Collins,NBA,Points,15.5,Over,48.54,-106,LOSS,15
2026-02-08,Jaden McDaniels,NBA,Points,13.5,Over,48.54,-106,LOSS,2
2026-02-08,Donte DiVincenzo,NBA,Points,11.5,Over,48.54,-106,LOSS,1
2026-02-08,Rudy Gobert,NBA,Points,9.5,Over,48.54,-106,WIN,10
2026-02-08,Aaron Nesmith,NBA,Points,13.5,Under,48.12,-104,WIN,7
2026-02-08,Collin Murray-Boyles,NBA,Rebounds,6.5,Over,48.12,-104,LOSS,0
2026-02-08,Sandro Mamukelashvili,NBA,Rebounds,5.5,Under,48.12,-104,WIN,4
2026-02-08,Scottie Barnes,NBA,Assists,5.5,Over,48.12,-104,WIN,6
2026-02-08,Kris Dunn,NBA,Points,8.5,Over,48.12,-104,WIN,9
2026-02-08,Brandon Ingram,NBA,Assists,3.5,Over,47.61,-102,LOSS,3
2026-02-08,Derrick Jones,NBA,Points,9.5,Over,47.61,-102,LOSS,5
2026-02-08,Ayo Dosunmu,NBA,Points,9.5,Under,47.61,-102,LOSS,11
2026-02-08,Naz Reid,NBA,Points,13.5,Under,47.61,-102,WIN,8
2026-02-08,Kawhi Leonard,NBA,Points,29.5,Over,47.11,100,WIN,41
2026-02-08,Pascal Siakam,NBA,Points,22.5,Under,47.11,100,WIN,18
2026-02-08,Brandon Ingram,NBA,Points,23.5,Under,47.11,100,WIN,13
2026-02-08,Aaron Nesmith,NBA,Rebounds,4.5,Over,47.11,100,LOSS,1
2026-02-08,RJ Barrett,NBA,Rebounds,5.0,Over,46.69,102,WIN,8
2026-02-08,Anthony Edwards,NBA,Points,27.5,Over,46.69,102,LOSS,23
2026-02-08,Jay Huff,NBA,Rebounds,4.5,Over,46.28,104,WIN,7
2026-02-08,Donte DiVincenzo,NBA,Rebounds,4.0,Under,46.28,104,Push,4
2026-02-08,Anthony Edwards,NBA,Rebounds,5.5,Over,45.72,106,LOSS,4
2026-02-08,Pascal Siakam,NBA,Rebounds,7.0,Under,45.33,108,WIN,4
2026-02-08,Julius Randle,NBA,Rebounds,6.5,Over,44.94,110,WIN,8
2026-02-08,Jarace Walker,NBA,Rebounds,5.0,Over,44.56,112,WIN,6
2026-02-08,Johnny Furphy,NBA,Rebounds,6.0,Under,44.05,114,WIN,2
2026-02-08,T.J. McConnell,NBA,Assists,4.0,Under,44.05,114,LOSS,7
2026-02-08,Naz Reid,NBA,Rebounds,6.0,Over,44.05,114,WIN,9
2026-02-08,Brandon Ingram,NBA,Rebounds,6.0,Over,42.5,122,LOSS,5
2026-02-08,Julius Randle,NBA,Assists,5.0,Over,41.06,130,LOSS,2
2026-02-08,Jaden McDaniels,NBA,Rebounds,4.0,Over,41.06,130,LOSS,2
2026-02-08,Anthony Edwards,NBA,Assists,4.0,Over,40.33,134,LOSS,2
