PLAYER_ID,NAME,TEAM,PTS,REB,AST,FG3M,BLK,STL,TOV,PRA,PR,PA,RA,SB,FGM,FTM,FTA
1630549,Day'Ron Sharpe,BKN,4.6,7.0,1.6,0.1,0.5,0.7,1.3,11.6,10.4,4.6,7.9,1.3,1.8,0.9,1.7
1641730,Noah Clowney,BKN,15.1,4.8,1.6,2.8,0.7,0.6,1.2,20.4,19.8,16.3,6.7,1.5,5.4,1.4,1.2
1630592,Jalen Wilson,BKN,4.1,3.3,1.4,0.4,0.2,0.5,0.8,10.1,8.5,6.3,4.8,0.8,1.6,1.2,1.7
1630534,Ochai Agbaji,UTA,-0.1,0.7,0.4,0.1,0.2,0.1,0.2,0.7,0.8,0.2,1.3,0.4,-0.0,-0.0,0.1
1629651,Nic Claxton,BKN,15.6,7.8,3.3,0.0,1.3,0.9,1.4,27.2,24.3,21.1,10.7,2.3,6.4,2.5,3.9
1642879,Ben Saraf,BKN,3.0,2.1,3.2,0.2,0.2,0.7,1.7,8.8,4.9,7.2,5.6,0.9,1.2,0.4,0.9
1642849,Nolan Traore,BKN,13.0,2.8,5.1,1.1,0.4,1.0,2.5,20.5,16.2,17.9,8.5,1.3,4.7,2.7,3.4
1630169,Tyrese Haliburton,IND,21.8,3.6,9.5,3.2,0.6,1.3,1.9,31.9,23.7,29.2,12.5,1.9,7.5,3.8,4.5
1630167,Obi Toppin,NYK,14.1,4.7,2.0,1.6,0.4,0.7,1.3,19.2,17.6,15.7,6.0,1.1,5.0,2.0,3.5
1629614,Andrew Nembhard,IND,22.7,3.4,6.9,3.0,0.2,1.0,2.8,32.0,26.6,28.8,10.5,1.3,7.8,3.3,4.6
1643007,Taelon Peter,IND,5.4,2.3,1.5,0.7,0.2,0.5,0.6,9.3,7.9,7.3,4.0,0.8,2.0,0.8,1.0
1641716,Jarace Walker,IND,15.4,5.4,2.5,1.1,0.4,1.0,2.1,22.4,20.8,18.5,8.2,1.5,5.7,1.9,3.4
1642880,Kam Jones,IND,4.2,1.5,1.5,0.6,0.2,0.4,0.6,7.6,5.8,5.8,3.1,0.6,1.7,0.1,0.0
204456,T.J. McConnell,IND,12.5,2.8,5.3,0.4,0.2,1.1,1.6,21.4,17.0,16.9,7.3,1.2,5.2,1.7,1.7
1630695,Micah Potter,UTA,8.1,5.5,1.5,1.0,0.4,0.5,0.9,16.6,15.6,10.4,6.9,1.0,2.7,1.6,2.0
1642277,Johnny Furphy,IND,9.1,5.7,2.9,1.2,0.3,0.9,1.3,16.4,12.8,10.0,7.8,1.3,3.6,0.6,0.5
1630174,Aaron Nesmith,IND,11.7,4.0,1.9,1.7,0.5,0.9,1.4,18.1,17.1,13.1,5.9,1.3,4.0,1.8,2.1
1641738,Kobe Brown,LAC,10.4,2.6,1.2,1.5,0.3,0.4,0.7,14.6,13.5,12.0,4.0,0.8,3.7,1.5,2.0
1641767,Ben Sheppard,IND,9.5,2.6,2.0,2.4,0.2,0.5,0.9,13.8,11.6,10.7,4.5,0.6,3.6,0.2,0.3
1631245,Quenton Jackson,WAS,17.8,2.7,1.9,2.0,0.2,0.8,1.0,26.3,23.1,20.8,6.4,1.0,5.8,2.8,3.8
1630643,Jay Huff,WAS,10.9,4.7,1.4,1.3,1.2,0.7,1.0,16.6,15.3,11.8,6.0,1.7,4.0,1.5,2.0
1627826,Ivica Zubac,LAC,15.7,11.5,1.6,0.1,1.2,0.5,1.5,28.5,26.9,17.5,11.6,1.5,6.4,2.4,3.9
1627783,Pascal Siakam,TOR,19.4,6.8,4.0,1.3,0.5,0.8,2.1,28.3,26.8,23.4,10.4,1.3,7.1,4.2,4.9
1630679,Ethan Thompson,IND,9.2,2.3,1.4,1.3,0.3,0.7,0.7,13.5,11.3,11.7,3.9,0.9,3.3,1.3,1.8
1630178,Tyrese Maxey,PHI,28.0,3.9,7.2,2.9,0.4,1.5,2.2,38.4,32.1,35.7,11.2,1.9,10.0,4.7,5.1
1630699,MarJon Beauchamp,MIL,7.5,3.1,1.1,0.9,0.3,0.5,0.7,12.1,11.2,9.1,4.5,0.8,3.0,1.2,1.9
203083,Andre Drummond,CHI,9.8,6.8,1.1,0.6,0.7,0.8,1.2,19.5,17.2,11.6,8.2,1.5,3.9,1.5,2.0
1629656,Quentin Grimes,NYK,11.0,3.3,2.9,1.5,0.3,0.9,1.1,18.5,14.3,14.4,6.5,1.3,4.2,1.5,2.1
1631207,Dalen Terry,CHI,7.4,3.3,1.9,1.0,0.4,0.7,1.3,11.4,8.9,7.7,5.6,1.3,2.3,1.6,2.2
200768,Kyle Lowry,MIA,7.6,1.9,2.1,2.1,0.3,0.8,0.6,11.5,10.4,9.5,4.0,1.1,2.7,1.5,2.3
202331,Paul George,LAC,14.3,4.6,3.2,1.7,0.5,1.3,1.5,21.8,18.6,18.2,8.1,1.8,5.5,0.5,0.2
